x,y
0,5301
1,5477
2,5287
3,5323
4,5201
5,5125
6,4800
7,5027
8,4851
9,4804
10,4930
11,4996
12,4882
13,4913
14,4832
15,4703
16,4672
17,4327
18,4564
19,4447
20,4485
21,4386
22,4645
23,4650
24,4638
25,4813
26,4542
27,4560
28,4478
29,4411
30,4350
31,4580
32,4421
33,4690
34,4694
35,4646
36,4672
37,4615
38,4524
39,4432
40,4496
41,4273
42,4641
43,4512
44,4596
45,4637
46,4831
47,4511
48,4585
49,4524
50,4427
51,4513
52,4413
53,4487
54,4613
55,4678
56,4648
57,4809
58,4521
59,4580
60,4455
61,4435
62,4434
63,4538
64,4548
65,4615
66,4787
67,4636
68,4695
69,4707
70,4514
71,4436
72,4498
73,4481
74,4544
75,4597
76,4629
77,4878
78,4695
79,4659
80,4645
81,4642
82,4406
83,4439
84,4335
85,4268
86,4352
87,4359
88,4300
89,4318
90,4296
91,4099
92,4194
93,3954
94,4036
95,3901
96,3946
97,3881
98,3929
99,3906
