x,y
0,4544
1,4560
2,4567
3,4590
4,4774
5,4661
6,4683
7,4671
8,4606
9,4525
10,4543
11,4595
12,4492
13,4536
14,4582
15,4606
16,4563
17,4633
18,4621
19,4481
20,4442
21,4482
22,4425
23,4383
24,4478
25,4539
26,4572
27,4575
28,4676
29,4583
30,4531
31,4553
32,4561
33,4511
34,4498
35,4640
36,4573
37,4633
38,4729
39,4734
40,4632
41,4604
42,4636
43,4505
44,4535
45,4565
46,4554
47,4514
48,4595
49,4667
50,4607
51,4586
52,4582
53,4500
54,4395
55,4437
56,4480
57,4462
58,4463
59,4628
60,4627
61,4596
62,4634
63,4601
64,4551
65,4506
66,4627
67,4528
68,4545
69,4618
70,4663
71,4671
72,4681
73,4793
74,4613
75,4616
76,4572
77,4549
78,4500
79,4534
80,4621
81,4562
82,4644
83,4673
84,4617
85,4489
86,4505
87,4491
88,4462
89,4431
90,4492
91,4487
92,4482
93,4597
94,4646
95,4646
96,4557
97,4646
98,4508
99,4497
